date,item_name,quantity,price,total
17-09-2024,Potato,8,10,80
18-09-2024,mango,9,10,90
19-09-2024,Tomato,3,4,12
20-09-2024,Onion,9,100,900
20-09-2024,banana,9,100,900
20-09-2023,apple,10,2,20
20-09-2023,apple,20,2,40
26-12-2023,Onion,4,83,332
21-09-2023,Blueberry,13,78,1014
25-10-2023,Carrot,16,67,1072
01-01-2024,Apple,11,72,792
12-03-2024,Lettuce,5,43,215
30-01-2023,Grapes,15,64,960
10-02-2023,Mango,7,11,77
26-01-2024,Grapes,15,46,690
17-02-2024,Peach,16,11,176
04-07-2024,Lettuce,2,76,152
11-04-2024,Pineapple,14,11,154
06-06-2024,Spinach,17,35,595
20-08-2023,Tomato,5,11,55
25-01-2024,Pepper,14,51,714
29-09-2023,Watermelon,18,36,648
01-05-2024,Lettuce,6,22,132
19-08-2023,Banana,2,99,198
11-02-2023,Onion,7,12,84
19-08-2023,Banana,1,44,44
04-10-2022,Peach,1,6,6
